-1.#IND,1.#QNAN,-2147483648,0,0,0.018,10.1637,0.0101637,
5.42857,-1.96,5,3080,404,10.601,8390.22,8.39022,
4.99448,-1.32597,5,3075,411,10.631,8415.68,8.41568,
4.93889,-1.76111,5,3075,411,10.664,8442.99,8.44299,
4.36957,-2.26087,4,3073,411,10.696,8470.32,8.47032,
4.57143,-4.10989,6,3069,411,10.737,8508.79,8.50879,
4.97268,-5.65027,7,3064,412,10.772,8535.48,8.53548,
4.51648,-7.04396,8,3062,415,10.806,8564.62,8.56462,
5.07303,-9.82022,11,3059,425,10.85,8591.57,8.59157,
5.42162,-14.0162,15,3056,429,10.88,8618.32,8.61832,
5.67232,-17.0282,17,3051,445,10.911,8644.19,8.64419,
6.5,-21.9945,22,3050,461,10.944,8670.58,8.67058,
5.39362,-24.2872,24,3049,478,10.975,8696.01,8.69601,
3.43713,-25.8204,26,3048,498,11.006,8722.62,8.72262,
1.11538,-26.3681,26,3048,525,11.038,8749.78,8.74978,
-0.893258,-26.9157,26,3049,558,11.072,8780.53,8.78053,
-2.31176,-25.1118,25,3054,585,11.115,8806.92,8.80692,
-4.15854,-22.8293,23,3059,620,11.146,8834.63,8.83463,
-7.16471,-21.2471,22,3066,654,11.179,8863.17,8.86317,
-10.5137,-19.5685,22,3074,687,11.21,8891.35,8.89135,
-12.5068,-16.0878,20,3086,731,11.242,8918.88,8.91888,
-12.9835,-10.8595,16,3098,750,11.271,8944.95,8.94495,
-16.0652,-7.15217,17,3109,761,11.3,8970.56,8.97056,
-18.4479,-3.74233,18,3118,769,11.333,8996.51,8.99651,
-15.1452,0.290323,15,3136,777,11.364,9021.87,9.02187,
-19.7861,2.51445,19,3159,778,11.407,9059.49,9.05949,
-17.4342,5.51974,18,3175,780,11.444,9087.23,9.08723,
-18.1566,7.42169,19,3189,780,11.474,9113.97,9.11397,
-15.6233,9.72603,18,3206,772,11.505,9140.4,9.1404,
-16.0577,12.859,20,3220,760,11.536,9168.18,9.16818,
-14.2118,14.6706,20,3234,739,11.569,9196.83,9.19683,
-13.8313,16.6325,21,3240,716,11.6,9225.07,9.22507,
-14.4624,18.8208,23,3265,688,11.634,9256.35,9.25635,
-13.8057,18.96,23,3273,671,11.676,9282.66,9.28266,
-9.02581,15.9226,18,3291,647,11.707,9308.1,9.3081,
-6.90503,15.1564,16,3301,630,11.744,9339.11,9.33911,
-2.10219,11.781,11,3308,612,11.785,9365.23,9.36523,
0.745342,12.5963,12,3314,599,11.816,9390.96,9.39096,
2.08284,13.9822,14,3314,588,11.847,9416.74,9.41674,
4.34211,17.5132,18,3314,573,11.881,9445.4,9.4454,
5.28409,21.0284,21,3310,549,11.911,9472.57,9.47257,
6.50588,21.4235,22,3307,527,11.943,9499.34,9.49934,
8.77439,22.8476,24,3303,507,11.974,9526.75,9.52675,
11.5267,23.9133,26,3295,490,12.004,9552.01,9.55201,
14.8193,24.1084,28,3283,471,12.036,9578.34,9.57834,
18.3125,25.4437,31,3253,442,12.081,9619.27,9.61927,
20.8488,26.4884,33,3230,418,12.113,9645.07,9.64507,
22.485,26.8323,35,3199,387,12.144,9671.28,9.67128,
22.491,28.2754,36,3181,363,12.176,9697.88,9.69788,
22.125,29.5833,36,3150,325,12.209,9726.54,9.72654,
23.8229,30.2457,38,3130,302,12.236,9752.06,9.75206,
22.7101,29.0473,36,3106,268,12.269,9780.15,9.78015,
22.1111,26.5864,34,3084,244,12.3,9806.33,9.80633,
22.628,24.5732,33,3062,221,12.332,9833.54,9.83354,
22.3892,22.3772,31,3037,196,12.366,9863.82,9.86382,
22.3509,21.4327,30,2986,165,12.416,9897.49,9.89749,
18.5494,19.1728,26,2956,145,12.454,9921.93,9.92193,
